,error,slope,name
83,0.036459760567647125,0.0001506269237307594,"09(1_0_0, 5_0_0)"
84,0.020077532620563915,0.001333790844378624,"09(2_0_0, 3_0_0)"
85,0.024774879631760765,0.0011249607562744217,"09(2_0_0, 4_0_0)"
86,0.022657183205268473,0.0011472119142742145,"09(2_0_0, 5_0_0)"
87,0.042659085130181594,0.0006225172751052419,"09(3_0_0, 4_0_0)"
88,0.008908243642476305,0.001166967451799191,"09(3_0_0, 5_0_0)"
89,0.04415681950875113,0.0007160395354239692,"09(4_0_0, 5_0_0)"
90,0.011644391626193394,0.001401236878780478,"10(1_0_0, 2_0_0)"
91,0.010729870839985622,0.0012140880217179427,"10(1_0_0, 3_0_0)"
92,0.025316131762998014,0.0010388032408342005,"10(1_0_0, 4_0_0)"
93,0.051687479192726545,0.00019727003459557588,"10(2_0_0, 3_0_0)"
94,0.04566710413231613,0.000321789972509699,"10(2_0_0, 4_0_0)"
95,0.05022547087061982,0.00028778118667593244,"10(3_0_0, 4_0_0)"
96,0.004643156030035298,0.0014354222483072324,"11(1_0_0, 2_0_0)"
97,0.038621282313230774,0.0006514015392981845,"11(1_0_0, 3_0_0)"
98,0.023454867497981112,0.0012989686860190662,"11(1_0_0, 4_0_0)"
99,0.02900477860649718,0.00131113853758296,"11(2_0_0, 3_0_0)"
100,0.04298551550401944,0.0005107069472886492,"11(2_0_0, 4_0_0)"
101,0.03466060536957029,0.0011892331464997499,"11(3_0_0, 4_0_0)"
102,0.04492681166955416,0.0005540553762937016,"12(1_0_0, 2_0_0)"
103,0.03516525950574763,0.0009547395304486588,"12(1_0_0, 3_0_0)"
104,0.004521798063931962,0.0014190014637510072,"12(1_0_0, 4_0_0)"
105,0.02661688706219142,0.000941918643950902,"12(2_0_0, 3_0_0)"
106,0.03170711762082158,0.0012290945160012732,"12(2_0_0, 4_0_0)"
107,0.02250876054186278,0.001329024952103599,"12(3_0_0, 4_0_0)"
108,0.01495194249816531,0.0018211734160522295,"13(1_0_0, 2_0_0)"
109,0.007311669148211843,0.0017101482446950096,"13(1_0_0, 3_0_0)"
110,0.01597033209839205,0.001667856694594133,"13(1_0_0, 4_0_0)"
111,0.037254230601742336,0.0007193710164780434,"13(2_0_0, 3_0_0)"
112,0.04361555269381507,0.0006299402148975579,"13(2_0_0, 4_0_0)"
113,0.06253740109910369,1.613412646152978e-05,"13(3_0_0, 4_0_0)"
114,0.043378925869590024,0.0012474088572986082,"14(1_0_0, 2_0_0)"
115,0.03133531197768989,0.0012165203229773825,"14(1_0_0, 3_0_0)"
116,0.02707629532421111,0.0014630011397180024,"14(1_0_0, 4_0_0)"
117,0.05417965564930919,6.639429081894593e-05,"14(2_0_0, 3_0_0)"
118,0.02718840071298149,0.0010355302288141029,"14(2_0_0, 4_0_0)"
119,0.01337810198348439,0.0012074497296877518,"14(3_0_0, 4_0_0)"
120,0.04557907376815006,0.0005811900858961711,"15(1_0_0, 2_0_0)"
121,0.010473077232162476,0.0011876747193179452,"15(1_0_0, 3_0_0)"
122,0.0268781483336475,0.00046505086343947313,"15(1_0_0, 4_0_0)"
123,0.006840367458184642,0.0013228447403384137,"15(2_0_0, 3_0_0)"
124,0.023652709736495046,0.0009122225432499626,"15(2_0_0, 4_0_0)"
125,0.039405579357456144,0.000516072428993781,"15(3_0_0, 4_0_0)"
126,0.04327787074066901,0.0003848030463850478,"16(1_0_0, 2_0_0)"
127,0.030147890544209476,0.0009613659067988862,"16(1_0_0, 3_0_0)"
128,0.031968221153528514,0.0005529515719133898,"16(1_0_0, 4_0_0)"
129,0.036964223830873194,0.0008508575422510979,"16(2_0_0, 3_0_0)"
130,0.06088752982942655,0.0004286798192941211,"16(2_0_0, 4_0_0)"
131,0.03719316558742609,0.0008952938794357847,"16(3_0_0, 4_0_0)"
132,0.01070183457086227,0.0017747230450656751,"17(1_0_0, 2_0_0)"
133,0.004819934068586901,0.0016156773516520792,"17(1_0_0, 3_0_0)"
134,0.009027179158178508,0.0015127807832997792,"17(1_0_0, 4_0_0)"
135,0.03864555061937623,0.0012642110291668175,"17(2_0_0, 3_0_0)"
136,0.034188715104397756,0.0010497697355946463,"17(2_0_0, 4_0_0)"
137,0.047647508314132045,9.34294880859075e-05,"17(3_0_0, 4_0_0)"
138,0.025374931963117235,0.0013399084234602045,"18(1_0_0, 2_0_0)"
139,0.020545987309310267,0.0011681551445704983,"18(1_0_0, 3_0_0)"
140,0.02550315727118143,0.0011120982433763837,"18(1_0_0, 4_0_0)"
141,0.039666994212786306,0.0006891759015633284,"18(2_0_0, 3_0_0)"
142,0.04209295530579834,0.000693443939924256,"18(2_0_0, 4_0_0)"
143,0.040414309238846646,0.001187462273036187,"18(3_0_0, 4_0_0)"
144,0.021461762370503224,0.0008161553159223772,"19(1_0_0, 2_0_0)"
145,0.06443804358871587,0.00016532488896013676,"19(1_0_0, 3_0_0)"
